date,GPP,SW_IN_F,PPFD_IN_F_MDS,PPFD_IN_F_MDS_QC,PAR_BK,PAR,JAXAPAR,window_start,window_end,NIRV,window_id,match_count,NIRvP_PAR,NIRvP_JAXAPAR
2001-01-01,0.1027938474750393,144.33928073694298,287.4661133962987,0.0,287.4661133962987,64.95267633162435,,,,,,0,,
2001-01-02,0.0903713874275053,126.46676018585748,256.6346199937784,0.0,256.6346199937784,56.910042083635865,,,,,,0,,
2001-01-03,0.0974636112950615,136.63689981028423,280.344112768769,0.0,280.344112768769,61.486604914627904,,,,,,0,,
2001-01-04,0.1056624469209146,148.45981996009732,303.35903431816564,0.0,303.35903431816564,66.8069189820438,,,,,,0,,
2001-01-05,0.1053127237519626,147.93600343416117,301.31246176361947,0.0,301.31246176361947,66.57120154537253,,,,,,0,,
2001-01-06,0.1034926927162884,145.37152016411218,295.7583477996907,0.0,295.7583477996907,65.41718407385048,,,,,,0,,
2001-01-07,0.0543799047610754,75.43253840707848,159.68193789074806,0.0,159.68193789074806,33.94464228318532,,,,,,0,,
2001-01-08,0.0733176450842175,102.62648453625528,204.4257711494957,0.0,204.4257711494957,46.18191804131487,,,,,,0,,
2001-01-09,0.051559328903743,71.52479722971707,141.55901807794962,0.0,141.55901807794962,32.18615875337268,,,,,,0,,
2001-01-10,0.0551462223445092,76.53660469253846,154.09770180804952,0.0,154.09770180804952,34.441472111642305,,,,,,0,,
2001-01-11,0.1015272816196151,142.57787376642213,292.7044420220571,0.0,292.7044420220571,64.16004319488997,,,,,,0,,
2001-01-12,0.1086495427574479,153.10168059666935,310.0380461144565,0.0,310.0380461144565,68.89575626850122,,,,,,0,,
2001-01-13,0.0480128471038837,61.01041464010867,130.38517836077745,0.0,130.38517836077745,27.4546865880489,,,,,,0,,
2001-01-14,0.1008929492058672,118.59225903513516,245.0360757277033,0.0,245.0360757277033,53.36651656581082,,,,,,0,,
2001-01-15,0.1386023896786167,158.08630925890353,322.9154459151117,0.0,322.9154459151117,71.13883916650659,,,,,,0,,
2001-01-16,0.1411402185819133,142.68997948213155,289.0510636741912,0.0,289.0510636741912,64.2104907669592,,,,,,0,,
2001-01-17,0.1638755881976889,159.6249949562672,324.12507944802366,0.0,324.12507944802366,71.83124773032024,,,,,,0,,
2001-01-18,0.1746010457693074,156.96626327528296,318.32590904335143,0.0,318.32590904335143,70.63481847387733,,,,,,0,,
2001-01-19,0.1643623368279839,130.50247715401915,269.26631134251693,0.0,269.26631134251693,58.72611471930862,,,,,,0,,
2001-01-20,0.1399343469422369,78.72916274195683,165.8538476813893,0.0,165.8538476813893,35.42812323388058,,,,,,0,,
2001-01-21,0.2124236756412553,157.07092622667537,318.08468369332394,0.0,318.08468369332394,70.68191680200391,,,,,,0,,
2001-01-22,0.1963161403494613,106.68005338342222,225.2055790643207,0.0,225.2055790643207,48.00602402254,,,,,,0,,
2001-01-23,0.2209024597101475,132.83779568814967,273.7065873541864,0.0,273.7065873541864,59.77700805966735,,,,,,0,,
2001-01-24,0.2537585646243875,165.54414091507587,335.2293082168316,0.0,335.2293082168316,74.49486341178414,,,,,,0,,
2001-01-25,0.198174326157763,61.56894677147874,136.09855161987545,0.0,136.09855161987545,27.70602604716544,,,,,,0,,
2001-01-26,0.1870668373918309,30.304066879053835,65.72257947176679,0.0,65.72257947176679,13.636830095574226,,,,,,0,,
2001-01-27,0.0968819260166431,5.564980043486368,13.172871562574665,0.0,13.172871562574665,2.5042410195688656,,,,,,0,,
2001-01-28,0.2995496595360106,152.12797461450086,310.9786285740936,0.0,310.9786285740936,68.45758857652538,,,,,,0,,
2001-01-29,0.3210896214718884,176.2321391801038,360.0770926289254,0.0,360.0770926289254,79.3044626310467,,,,,,0,,
2001-01-30,0.333435808020005,176.40624352296174,363.2759564450623,0.0,363.2759564450623,79.3828095853328,,,,,,0,,
2001-01-31,0.3324194153079208,144.39781039953215,296.297273208076,0.0,296.297273208076,64.97901467978947,,,,,,0,,
2001-02-01,0.278074688729735,30.358629527191244,59.03156315923349,0.0,59.03156315923349,13.66138328723606,,,,,,0,,
